,Skrót nazwy placówki,Skrót nazwy jednostki,Regon placówki,Regon szkoły,RSPO placówki,Rspo,Nazwa placówki,Nazwa szkoły/ jednostki,Typ placówki,Typ jednostki,Kategoria uczniów,Jednostka specjalna,Bezpośredni nadzór,Miejscowość,Dzielnica,Miejski System Informacji,Ulica nazwa,Ulica nr,Nr Kodu,Imię dyrektora,Nazwisko dyrektora,Telefon,Faks,WWW,Strona BIP,E-mail,Numer jednostki,Placówka prowadzi internat/bursę,jednostka/zakład budż,Liczba uczniów,Liczba dzieci w oddziałach przedszkolnych,SUMA - Liczba uczniów i dzieci  ,Liczba oddziałów - uczniowie,Liczba oddziałów przedszkolnych,SUMA - Liczba oddziałów  ,Oddziały dwujęzyczne,Oddziały integracyjne,Oddziały sportowe,Oddziały mistrzostwa sportowego,Oddziały międzynarodowe,Oddziały specjalne,Oddziały specjalne przysposabiające do pracy,Oddziały terapeutyczne,Oddziały eksperymentalne,Oddzały przygotowania wojskowego,uwagi,Czy w zespole?,Typ jednostki (generalizacja),Uwzględniać na liście jednostek samodzielnych i złożonych?,Szkoły i przedszkola,samodzielna lub zespół - Czy szkoła lub przedszkole w składzie?,samodzielna lub zespół - Czy szkoła w składzie?,samodzielna lub zespół - Czy szkoła ponadpodstawowa w składzie?,samodzielna lub zespół - Czy przedszkole lub zespół z przedszkolem w składzie?,samodzielna lub zespół - Czy szkoła podstawowa (w tym muzyczna) w składzie?,samodzielna lub zespół - Czy liceum ogólnokształcące w składzie?,samodzielna lub zespół - Czy technikum w składzie?,samodzielna lub zespół - Czy branżowa szkoła I stopnia w składzie?,samodzielna lub zespół - Czy branżowa szkoła II stopnia w składzie?,samodzielna lub zespół - Czy szkoła policealna w składzie?,samodzielna lub zespół - Czy jednostka specjalna w składzie?,samodzielna lub zespół - Czy szkoła kształcąca w zawodzie w składzie?,Edukacyjna Wartość Dodana,RSPO - wyszukiwarka,obwód szkoły podstawowej,Teren działania poradni,Niepełnosprawność dominująca,"Jednostka ""przyszpitalna""","długość geograficzna 
(w stopniach)","szerokość geograficzna 
(w stopniach)",długość geograficzna (w metrach),szerokość geograficzna (w metrach),Wars i Sawa,"na obszarze Zintegrowanego Programu Rewitalizacji m.st. Warszaw do 2022 (Praga Północ, Praga Południe, Targówek)",Identyfikacja w systemie sprawozdawczości (ankietyBE),Czas pracy przedszkola - od,Czas pracy przedszkola - do
497,P_331,P_331,13005094.0,13005094.0,15073.0,15073.0,"Przedszkole nr 331 ""U Słonia Szczęściarza""","Przedszkole nr 331 ""U Słonia Szczęściarza""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocławek,ul. Szaserów,61A,04-311,Marzena,Nowak,226105212,226105212,http://www.przedszkole331.waw.pl,http://przedszkole331.bip.um.warszawa.pl,p331@edu.um.warszawa.pl,331.0,nie,jednostka budżetowa,0.0,139.0,139.0,0.0,6.0,6.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/15073,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,10691596","52,24522329","7507302,023","5790188,975",,,770.0,07:00,17:00
498,P_334,P_334,12047021.0,12047021.0,23464.0,23464.0,Przedszkole nr 334 im. Jasia i Małgosi,Przedszkole nr 334 im. Jasia i Małgosi,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Wrzeciono,ul. Przy Agorze,12,01-960,Katarzyna,Pawlik,228347157,,http://przedszkolandia334.edupage.org,http://przedszkole334.bip.um.warszawa.pl,p334@edu.um.warszawa.pl,334.0,nie,jednostka budżetowa,0.0,198.0,198.0,0.0,8.0,8.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/23464,,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,93962874","52,29354271","7495881,313","5795561,513",,,488.0,06:30,17:00
499,P_336,P_336,13001736.0,13001736.0,81529.0,81529.0,Przedszkole nr 336,Przedszkole nr 336,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Jelonki Południowe,ul. Siemiatycka,2,01-312,Dorota,Bogucka-Przybyła,226653616,226653616,http://www.przedszkole336.pl,http://przedszkole336.bip.um.warszawa.pl,p336@edu.um.warszawa.pl,336.0,nie,jednostka budżetowa,0.0,122.0,122.0,0.0,5.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/81529,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,90286342","52,22394711","7493362,705","5787820,779",,,626.0,07:00,17:00
500,P_337,P_337,13001742.0,13001742.0,6899.0,6899.0,Przedszkole nr 337,Przedszkole nr 337,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Jelonki Południowe,ul. Reżyserska,19,01-386,Danuta,Wirt,226643927,226643927,http://www.przedszkole337.pl,http://przedszkole337.bip.um.warszawa.pl,p337@edu.um.warszawa.pl,337.0,nie,jednostka budżetowa,0.0,113.0,113.0,0.0,5.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/6899,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,90722751","52,2262509","7493661,229","5788076,715",,,627.0,07:00,17:00
501,P_338,P_338,13005830.0,13005830.0,24246.0,24246.0,"Przedszkole nr 338 ""Sosnowa Stacyjka""","Przedszkole nr 338 ""Sosnowa Stacyjka""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wawer,Falenica,ul. Włókiennicza,41,04-974,Izabella,Rudzka,228724146,228724146,http://www.przedszkole338.pl,http://www.przedszkole338.pl/bip,p338@edu.um.warszawa.pl,338.0,nie,jednostka budżetowa,0.0,219.0,219.0,0.0,9.0,9.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/24246,,Poradnia Psychologiczno-Pedagogiczna nr 17,,,"21,20692148","52,15977707","7514159,209","5780696,809",,,772.0,07:00,17:30
502,P_340,P_340,12047050.0,12047050.0,23465.0,23465.0,"Przedszkole nr 340 ""Kasztanowego Ludka""","Przedszkole nr 340 ""Kasztanowego Ludka""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Chomiczówka,ul. Wojciecha Bogusławskiego,8A,01-923,Urszula,Mirowska,228476367,,http://www.przedszkole340.pl,http://przedszkole340.bip.um.warszawa.pl,p340@edu.um.warszawa.pl,340.0,nie,jednostka budżetowa,0.0,199.0,199.0,0.0,8.0,8.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/23465,,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,91834319","52,27745147","7494427,138","5793772,558",,,490.0,07:00,17:30
503,P_341,P_341,12525383.0,12525383.0,23481.0,23481.0,"Przedszkole z Oddziałami Integracyjnymi nr 341 ""Kota Filemona""","Przedszkole z Oddziałami Integracyjnymi nr 341 ""Kota Filemona""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Wawrzyszew,ul. Wergiliusza,15,01-915,Danuta,Skalska,226636069,226636069,http://www.przedszkolenr341.szkolnastrona.pl,http://przedszkole341.bip.um.warszawa.pl,p341@edu.um.warszawa.pl,341.0,nie,jednostka budżetowa,0.0,109.0,109.0,0.0,5.0,5.0,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/23481,,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,93701946","52,28658236","7495702,628","5794787,225",,,533.0,07:00,17:30
504,P_343,P_343,13006751.0,13006751.0,76142.0,76142.0,"Przedszkole nr 343 ""Na Miodowej Górce""","Przedszkole nr 343 ""Na Miodowej Górce""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursus,Niedźwiadek,ul. Warszawska,53,02-495,Teresa,Brzezińska,222772113,,https://www.przedszkole343.warszawa.pl,http://przedszkole343.bip.um.warszawa.pl,p343@edu.um.warszawa.pl,343.0,nie,jednostka budżetowa,0.0,137.0,137.0,0.0,6.0,6.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/76142,,Poradnia Psychologiczno-Pedagogiczna nr 15,,,"20,86436052","52,19410735","7490725,611","5784504,952",,,816.0,07:00,17:30
505,P_344,P_344,13002888.0,13002888.0,25645.0,25645.0,Przedszkole nr 344,Przedszkole nr 344,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Wyględów,ul. Spartańska,2,02-637,Mariola,Futoma,512182010,,http://przedszkole344.waw.pl,http://przedszkole344.bip.um.warszawa.pl,p344@edu.um.warszawa.pl,344.0,nie,jednostka budżetowa,0.0,147.0,147.0,0.0,6.0,6.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/25645,,Poradnia Psychologiczno-Pedagogiczna nr 7,,,"20,99604264","52,19030959","7499729,391","5784073,738",,,686.0,07:00,17:00
506,P_346,P_346,12524567.0,12524567.0,23468.0,23468.0,"Przedszkole nr 346 ""Pod Kasztanem""","Przedszkole nr 346 ""Pod Kasztanem""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Marymont-Ruda,ul. Klaudyny,8,01-684,Małgorzata,Pakuła,228331585,228331585,https://przedszkole346.edupage.org,http://przedszkole346.bip.um.warszawa.pl,p346@edu.um.warszawa.pl,346.0,nie,jednostka budżetowa,0.0,126.0,126.0,0.0,8.0,8.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/23468,,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,97755193","52,28053265","7498468,085","5794112,479",,,510.0,07:00,17:30
507,P_349,P_349,13002894.0,13002894.0,49226.0,49226.0,"Przedszkole nr 349 ""Barcelonka""","Przedszkole nr 349 ""Barcelonka""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Stegny,ul. Barcelońska,8,02-762,Bożena,Mielnik,228428139,228428139,http://www.p349.edu.um.warszawa.pl,https://przedszkole349.bip.um.warszawa.pl,p349@edu.um.warszawa.pl,349.0,nie,jednostka budżetowa,0.0,100.0,100.0,0.0,4.0,4.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/49226,,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,05517959","52,17630926","7503774,428","5782517,458",,,687.0,07:00,17:00
508,P_350,P_350,13001771.0,13001771.0,19854.0,19854.0,"Przedszkole nr 350 ""Jaśminowy Gaj""","Przedszkole nr 350 ""Jaśminowy Gaj""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Wola,Ulrychów,ul. Wieluńska,12,01-240,Agnieszka,Januszyk,228363041,228363041,http://jasminowygaj.waw.pl,http://przedszkole350.bip.um.warszawa.pl,p350@edu.um.warszawa.pl,350.0,nie,jednostka budżetowa,0.0,124.0,124.0,0.0,5.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/19854,,Poradnia Psychologiczno – Pedagogiczna nr 14,,,"20,95348543","52,23199079","7496822,256","5788712,317",,,628.0,07:00,17:30
509,P_351,P_351,13002902.0,13002902.0,18059.0,18059.0,Przedszkole nr 351 im. Wandy Chotomskiej,Przedszkole nr 351 im. Wandy Chotomskiej,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Ursynów-Centrum,ul. Edwarda Warchałowskiego,4,02-776,Lidia,Gruchała,226431369,226431369,http://przedszkole351.edupage.org,http://www.p351waw.szkolnybip.pl,chotomska351@gmail.com,351.0,nie,jednostka budżetowa,0.0,346.0,346.0,0.0,14.0,14.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/18059,,Poradnia Psychologiczno-Pedagogiczna nr 18,,,"21,04670775","52,14544334","7503197,143","5779082,852",,,688.0,07:00,17:30
510,P_352,P_352,13002919.0,13002919.0,18086.0,18086.0,Przedszkole nr 352,Przedszkole nr 352,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Ursynów-Centrum,ul. Leonida Teligi,3,02-777,Katarzyna,Kwiatkowska,226415221,226415221,http://www.przedszkole352.szkolnastrona.pl,http://www.bip.p352w-wa.wikom.pl,p352@edu.um.warszawa.pl,352.0,nie,jednostka budżetowa,0.0,300.0,300.0,0.0,13.0,13.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/18086,,Poradnia Psychologiczno-Pedagogiczna nr 18,,,"21,04666517","52,15286695","7503193,697","5779908,813",,,689.0,07:00,17:30
511,P_361,P_361,12524509.0,12524509.0,19701.0,19701.0,Przedszkole nr 361,Przedszkole nr 361,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Żoliborz,Sady Żoliborskie,ul. Włościańska,6A,01-710,Katarzyna,Grzęda,226333892,226333892,http://przedszkole361.waw.pl,http://bip.przedszkole361.waw.pl,p361@edu.um.warszawa.pl,361.0,nie,jednostka budżetowa,0.0,122.0,122.0,0.0,5.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/19701,,Poradnia Psychologiczno-Pedagogiczna nr 3,,,"20,96399349","52,2687067","7497542,167","5792797,05",,,505.0,07:00,17:30
512,P_364,P_364,12527614.0,12527614.0,23475.0,23475.0,"Przedszkole nr 364 ""Pod Tęczą""","Przedszkole nr 364 ""Pod Tęczą""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bielany,Marymont-Ruda,ul. Gwiaździsta,27,01-651,Iwona,Rode-Jaskółowska,228330391,228330391,http://www.przedszkole364.waw.pl,http://przedszkole364.bip.um.warszawa.pl,p364@edu.um.warszawa.pl,364.0,nie,jednostka budżetowa,0.0,70.0,70.0,0.0,3.0,3.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/23475,,Poradnia Psychologiczno-Pedagogiczna nr 10,,,"20,97844831","52,28350031","7498529,354","5794442,655",,,537.0,07:00,17:00
513,P_366,P_366,13002960.0,13002960.0,18102.0,18102.0,Przedszkole nr 366,Przedszkole nr 366,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Ursynów-Centrum,ul. Hawajska,7,02-776,Ewa,Wieczorek,226417222,226417222,http://www.przedszkole366.waw.pl,https://p366warszawa.ssdip.bip.gov.pl,p366@edu.um.warszawa.pl,366.0,nie,jednostka budżetowa,0.0,227.0,227.0,0.0,10.0,10.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/18102,,Poradnia Psychologiczno-Pedagogiczna nr 18,,,"21,04212477","52,14943329","7502883,181","5779526,588",,,691.0,07:00,17:00
514,P_370,P_370,13005898.0,13005898.0,15074.0,15074.0,Przedszkole nr 370,Przedszkole nr 370,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocław,ul. Władysława Umińskiego,11,03-984,Beata,Przygoda,226138769,226138769,http://www.przedszkole370.waw.pl,http://www.p370.info-bip.pl,p370@edu.um.warszawa.pl,370.0,nie,jednostka budżetowa,0.0,323.0,323.0,0.0,14.0,14.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/15074,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,09802054","52,22635793","7506697,333","5788089,096",,,773.0,07:00,17:00
515,P_371,P_371,13001788.0,13001788.0,7029.0,7029.0,Przedszkole nr 371,Przedszkole nr 371,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Bemowo-Lotnisko,ul. Stanisława Lencewicza,5,01-493,Joanna,Szpilman-Bartnicka,228377544,228377544,http://www.przedszkole371.waw.pl,http://przedszkole371.bip.um.warszawa.pl,p371@edu.um.warszawa.pl,371.0,nie,jednostka budżetowa,0.0,71.0,71.0,0.0,3.0,3.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/7029,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,91808572","52,25400429","7494406,617","5791163,755",,,629.0,07:00,17:30
516,P_376,P_376,15232670.0,15232670.0,61590.0,61590.0,Przedszkole nr 376 z Oddziałami Integracyjnymi,Przedszkole nr 376 z Oddziałami Integracyjnymi,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Rembertów,Stary Rembertów,ul. Admiralska,17,00-910,Dorota ,Olszanecka-Ryś,517230603,,http://przedszkole376.waw.pl,http://przedszkole376.bip.um.warszawa.pl,p376@edu.um.warszawa.pl,376.0,nie,jednostka budżetowa,0.0,292.0,292.0,0.0,14.0,14.0,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/61590,,Poradnia Psychologiczno-Pedagogiczna nr 23,,,"21,18337272","52,26342562","7512518,649","5792224,689",,,854.0,06:30,17:00
517,P_380,P_380,13005906.0,13005906.0,15075.0,15075.0,"Przedszkole nr 380 ""Promyk Gocławia""","Przedszkole nr 380 ""Promyk Gocławia""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocław,ul. gen. Tadeusza Bora-Komorowskiego,10A,03-982,Edyta,Kozicka,226137572,226137572,https://przedszkole380.edu.pl,https://przedszkole380.bip.um.warszawa.pl,sekretariat@przedszkole380.edu.pl,380.0,nie,jednostka budżetowa,0.0,102.0,102.0,0.0,5.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/15075,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,09866886","52,22469764","7506741,882","5787904,427",,,774.0,07:00,17:00
518,P_384,P_384,13005929.0,13005929.0,15076.0,15076.0,"Przedszkole nr 384 ""Tajemniczy Ogród""","Przedszkole nr 384 ""Tajemniczy Ogród""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocław,ul. Janusza Meissnera,8B,03-982,Bożena,Orlińska,226136800,,http://www.przedszkole384.pl,http://przedszkole384.bip.um.warszawa.pl,p384@edu.um.warszawa.pl,384.0,nie,jednostka budżetowa,0.0,73.0,73.0,0.0,3.0,3.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/15076,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,08819707","52,22381514","7506026,48","5787805,315",,,775.0,07:00,17:00
519,P_385,P_385,13002983.0,13002983.0,18150.0,18150.0,Przedszkole nr 385 im. Kawalerów Orderu Uśmiechu,Przedszkole nr 385 im. Kawalerów Orderu Uśmiechu,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Ursynów Północny,ul. Związku Walki Młodych,10,02-786,Grażyna,Nowak,226438697,226438697,http://www.przedszkole385waw.szkolnastrona.pl,http://www.bip.p385w-wa.wikom.pl,p385@edu.um.warszawa.pl,385.0,nie,jednostka budżetowa,0.0,189.0,189.0,0.0,8.0,8.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/18150,,Poradnia Psychologiczno-Pedagogiczna nr 18,,,"21,03852937","52,1579916","7502636,592","5780478,664",,,692.0,07:00,17:00
520,P_390,P_390,13001819.0,13001819.0,7264.0,7264.0,Przedszkole nr 390,Przedszkole nr 390,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Bemowo,Bemowo-Lotnisko,ul. Secemińska,1,01-485,Marta,Pakulska,226382026,228619246,http://www.przedszkole390.waw.pl,http://przedszkole390.bip.um.warszawa.pl,p390@edu.um.warszawa.pl,390.0,nie,jednostka budżetowa,0.0,144.0,144.0,0.0,6.0,6.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/7264,,Poradnia Psychologiczno-Pedagogiczna nr 20,,,"20,91775915","52,24895283","7494383,68","5790601,737",,,632.0,07:00,17:30
521,P_391,P_391,13002990.0,13002990.0,49235.0,49235.0,Przedszkole nr 391,Przedszkole nr 391,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Mokotów,Czerniaków,ul. Czerniakowska,20A,00-714,Agnieszka,Sokołowska,228403114,,http://p391waw.szkolnastrona.pl,http://p391waw.szkolnastrona.pl/bip,p391@edu.um.warszawa.pl,391.0,nie,jednostka budżetowa,0.0,118.0,118.0,0.0,5.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/49235,,Poradnia Psychologiczno-Pedagogiczna nr 8,,,"21,05172873","52,20088987","7503536,43","5785252,18",,,693.0,07:00,17:30
522,P_392,P_392,13005935.0,13005935.0,30739.0,30739.0,"Przedszkole nr 392 ""Wróbelka Elemelka""","Przedszkole nr 392 ""Wróbelka Elemelka""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Saska Kępa,ul. Afrykańska,14A,03-966,Edyta,Wachnik,226172870,226172870,http://www.wrobelekelemelek.pl,http://przedszkole392.bip.um.warszawa.pl,p392@edu.um.warszawa.pl,392.0,nie,jednostka budżetowa,0.0,147.0,147.0,0.0,7.0,7.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/30739,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,07106384","52,22695347","7504855,43","5788153,209",,,776.0,07:00,17:15
523,P_394,P_394,13003008.0,13003008.0,18175.0,18175.0,Przedszkole z Oddziałami Integracyjnymi nr 394,Przedszkole z Oddziałami Integracyjnymi nr 394,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Kabaty,ul. Jerzego Iwanowa-Szajnowicza,5,02-796,Marzanna,Wołosiak,226415216,226415216,http://www.p394.szkolnastrona.pl,http://www.p394.szkolnastrona.pl/bip,p394@edu.um.warszawa.pl,394.0,nie,jednostka budżetowa,0.0,127.0,127.0,0.0,7.0,7.0,nie,tak,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/18175,,Poradnia Psychologiczno-Pedagogiczna nr 18,,,"21,07216571","52,12842166","7504941,622","5777190,424",,,694.0,07:00,17:30
524,P_395,P_395,13003014.0,13003014.0,18208.0,18208.0,Przedszkole nr 395 im. Barbary Lewandowskiej,Przedszkole nr 395 im. Barbary Lewandowskiej,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Natolin,ul. Na Uboczu,9,02-791,Karolina,Sąntolak,226486551,226486551,http://www.przedszkole395.waw.pl,http://www.przedszkole395.waw.pl/BIP,p395@edu.um.warszawa.pl,395.0,nie,jednostka budżetowa,0.0,252.0,252.0,0.0,11.0,11.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/18208,,Poradnia Psychologiczno-Pedagogiczna nr 19,,,"21,04926203","52,14035445","7503372,368","5778516,77",,,695.0,07:00,17:00
525,P_397,P_397,13005993.0,13005993.0,15078.0,15078.0,"Przedszkole nr 397 ""Ziarenko""","Przedszkole nr 397 ""Ziarenko""",przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Praga Południe,Gocławek,ul. Komorska,6,04-161,Aneta,Buch,226106964,,http://www.przedszkole397.waw.pl,http://przedszkole397.bip.um.warszawa.pl,p397@edu.um.warszawa.pl,397.0,nie,jednostka budżetowa,0.0,163.0,163.0,0.0,7.0,7.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/15078,,Poradnia Psychologiczno – Pedagogiczna nr 16,,,"21,10226777","52,23646589","7506985,941","5789214,139",,,777.0,07:00,17:30
526,P_400,P_400,13003037.0,13003037.0,18219.0,18219.0,Przedszkole nr 400,Przedszkole nr 400,przedszkole,przedszkole,dzieci lub młodzież,nie,WOW - dzielnica,Warszawa,Ursynów,Natolin,ul. Eugeniusza Lokajskiego,2,02-793,Agnieszka,Orłowska,226487212,226487212,http://www.przedszkole400.waw.pl,http://www.bip.p400w-wa.wikom.pl,p400@edu.um.warszawa.pl,400.0,nie,jednostka budżetowa,0.0,128.0,128.0,0.0,5.0,5.0,nie,nie,nie,nie,nie,nie,nie,nie,nie,nie,,samodzielna,przedszkole,tak,P-,tak,,,tak,,,,,,,,,,https://rspo.gov.pl/rspo/18219,,Poradnia Psychologiczno-Pedagogiczna nr 19,,,"21,06573614","52,1386813","7504500,317","5778331,506",,,696.0,07:00,17:30
